Country,Continent,Latitude,Longitude
Tajikistan,Asia,38.861,71.2761
Tanzania,Africa,-6.369,34.8888
Thailand,Asia,15.87,100.9925
Timor-Leste,Asia,-8.8742,125.7275
Togo,Africa,8.6195,0.8248
Tonga,Oceania,-21.1789,-175.1982
Trinidad and Tobago,North America,10.6918,-61.2225
Tunisia,Africa,33.8869,9.5375
Turkey,Europe/Asia,38.9637,35.2433
Turkmenistan,Asia,38.9697,59.5563
Tuvalu,Oceania,-7.1095,177.6493
Uganda,Africa,1.3733,32.2903
Ukraine,Europe,48.3794,31.1656
United Arab Emirates,Asia,23.4241,53.8478
United Kingdom,Europe,55.3781,-3.436
United States,North America,37.0902,-95.7129
Uruguay,South America,-32.5228,-55.7658
Uzbekistan,Asia,41.3775,64.5853
Vanuatu,Oceania,-15.3767,166.9592
Vatican City,Europe,41.9029,12.4534
Venezuela,South America,6.4238,-66.5897
Vietnam,Asia,14.0583,108.2772
Yemen,Asia,15.5527,48.5164
Zambia,Africa,-13.1339,27.8493
Zimbabwe,Africa,-19.0154,29.1549
